deluxe room,"hotel room, better than standard"
concierge,"hotel employee that helps guests"
check out,"pay and leave a hotel"
confirmation,"an approval, verification"
Not to worry. We’re pleased to offer you a complimentary upgrade,"free improvement of quality"
there seems to be a mix- up, "mix- up,confusion"
unfortunately we’re overbooked at the moment,"overbooked,full"
Mr Roberts we’ve been expecting you and here is your keycard to the presidential suite,""
I have a reservation under the name Anthony Roberts,"under the name,name used for the reservation
reservation,booking"
symptom,"a sign,indication"
permission,"allow"
impolite,"rude"
sick day,"day off because you're sick"
make it into work,"go to work"
coming down,"getting,acquiring"
calling in sick,"report that you will not go to work because you are sick"
was hoping,"to kindly expect"
casual,"relaed,not dressy"
fancy,"nice,expensive,upscale"
impatient,"uncomfortable waiting,wanting to go"
grab,"get quickly 
You know what? I’ll just go grab a burger across the street."
go with," to choose,pick
I’ll go with the spaghetti and meatballs, salad and the wine."
complimentary,"free
It comes with either soup or salad and a complimentary glass of wine, Sir."
would recommend," 
suggest"
still working on," 
not yet completed, need more time"
Hello  Daniel speaking  how may I help you,""
Hi  Daniel  Julie here,""
Actually  I’m feeling quite ill today," 
very sick"
I think I’m coming down with the flu," 
virus/influenza similar to a cold but just a lot worse"
I have a headache a sore throat a runny nose and I’m feeling slightly feverish," 
headache/head hurts, sore arm/sore back/, slightly/ a little bit "
runny nose,"there's lots of water coming out of your nose"
I see  so you’re calling in sick,""
I was hoping to take the day off to recover,""
Try and get some rest,"Try to get some rest
Try to get some rest"
I’ll be your waiter for tonight  May I take your order?,""
No  I’m still working on it,""
What’s good here?,""
For you sir  I would recommend spaghetti and meatballs,""
Does it come with coke and fries?,""
It comes with either soup or salad and a complimentary glass of wine,""
You know what? I’ll just go grab a burger across the street，"算了吧，我乾脆直接去對面買個漢堡吃就好了"
pal,"a close friend
We’ve been pals since we were at school"
anxiety,"the feeling of being very worried about something
Oh god, the anxiety and the stress and all of this"
corridor,"a long narrow passage on a train or between rooms in a building, with doors leading off it
I was going to say it was like a little over three three and a half years of work and it's all coming out in a six-month corridor"
Look at the company I'm keeping,"看看我現在身邊的人是誰"
best damn audience,"最棒的观众"
Please take well,"请保重"
Late Show,"The Late Show is an American late-night talk show franchise on CBS
Please welcome back to the Late Show, Anne Hathaway"
devil,"the devil:the most powerful evil ↑spirit in some religions, especially in Christianity SYN Satan
The Devil Wears Prada,"
How's it going, "How are you
How's it going"
Close to here, "Around here
Around here."
On the next street, "Around the corner
Around the corner."
In a bit of a hurry,"Having no time
Having no time."
Contact details,"Information required to contact someone
Information required to contact someone,for example, telephone number, email address"
Slip my mind,"been forgotten
been forgotten"
Terrible with,"Bad at
Bad at"
Around there,"Close to there
Close to there"
To recognize,"To know and remember someone or something you have seen before
To know and remember someone or something you have seen before"
Acquaintance,"Someone you know but who is not a close friend
Someone you know but who is not a close friend"
In a rush,"Move quickly, not have much time
Move quickly, not have much time"
Forgetful,"Forgetting things easily
Forgetting things easily"
alchemist,"alchemist (n.) 炼金术士
【词性变化】alchemy (n.) 炼金术
【搭配词】the alchemist, an old alchemist
 The alchemist picked up a book that someone in the caravan had brought."
contemplate,"contemplate (v.) 凝视、沉思
【词性变化】contemplation (n.) 沉思
【搭配词】contemplate one's beauty, contemplate the future
 The alchemist knew the legend of Narcissus, a youth who knelt daily beside a lake to contemplate his own beauty."
fascinated,"fascinated (adj.) 着迷的、被深深吸引的
【词性变化】fascinate (v.) 使着迷; fascination (n.) 魅力
【搭配词】be fascinated by, fascinated with
 He was so fascinated by himself that, one morning, he fell into the lake and drowned."
recurrent,"recurrent (adj.) 复发的、反复出现的
【词性变化】recur (v.) 复发; recurrence (n.) 重现
【搭配词】recurrent dream, recurrent problem
 He thought for a moment that it would be better to pay her fee and leave without learning a thing, that he was giving too much importance to his recurrent dream."
interpretation,"interpretation (n.) 解释、说明
【词性变化】interpret (v.) 解释; interpreter (n.) 译员
【搭配词】dream interpretation, give an interpretation
 And this is my interpretation: you must go to the Pyramids in Egypt."
destiny,"destiny (n.) 命运、定数
【词性变化】destined (adj.) 注定的
【搭配词】fulfill one's destiny, meet one's destiny
 It will most certainly touch the very core of every heart earnestly seeking its own destiny on the journey of life."
inexhaustible,"inexhaustible (adj.) 用不完的、无穷无尽的
【词性变化】exhaust (v.) 耗尽; exhaustion (n.) 疲惫
【搭配词】inexhaustible supply, huge and inexhaustible
 The world was huge and inexhaustible; he had only to allow his sheep to set the route for a while."
mysterious,"mysterious (adj.) 神秘的、不可思议的
【词性变化】mystery (n.) 谜; mysteriously (adv.) 神秘地
【搭配词】mysterious energy, mysterious force
 It was as if some mysterious energy bound his life to that of the sheep."
conspire,"conspire (v.) 密谋、协力促成
【词性变化】conspiracy (n.) 阴谋
【搭配词】conspire to help, conspire against
 When you want something, the whole universe conspires to help you."
metaphor,"metaphor (n.) 隐喻、暗喻
【词性变化】metaphorical (adj.) 隐喻的
【搭配词】living metaphor, use a metaphor
 I was living my own metaphor. A man sets out on a journey, dreaming of a beautiful or magical place."
resonate,"resonate (v.) 共鸣、产生深远影响
【词性变化】resonance (n.) 共鸣
【搭配词】resonate with people, resonate deeply
 The Alchemist continues all these years later to resonate with people from different cultures all around the world."
reconciliation,"reconciliation (n.) 和解、调停
【词性变化】reconcile (v.) 和解
【搭配词】chance for reconciliation, bring about reconciliation
 There is always a chance for reconciliation, a chance that one day he and I will sit around a table together."
impenetrable,"impenetrable (adj.) 无法穿透的、难以理解的
【词性变化】penetrate (v.) 穿透
【搭配词】impenetrable wall, impenetrable forest
 The wind blew stronger, and now the desert was an impenetrable wall."
transformed,"transformed (adj./v.) 转变的、变形的
【词性变化】transform (v.) 改变; transformation (n.) 变形
【搭配词】transformed into, completely transformed
 He found the lake, which had been fresh water, transformed into a lake of salty tears."
sycamore,"sycamore (n.) 西克莫树(无花果树的一种)
【词性变化】
【搭配词】enormous sycamore, roots of the sycamore
 The roof had fallen in long ago, and an enormous sycamore had grown on the spot where the sacristy had once stood."
sacristy,"sacristy (n.) 教堂圣器室
【词性变化】
【搭配词】ruins of the sacristy
 The roof had fallen in long ago, and an enormous sycamore had grown on the spot where the sacristy had once stood."
levantar,"levantar (n.) 勒凡特风(地中海东部的东风)
【词性变化】
【搭配词】the levanter wind
 People called it the levanter, because on it the Moors had come from the Levant at the eastern end of the Mediterranean."
omens,"omens (n.) 预兆、征兆 (复数)
【词性变化】omen (n. 单数)
【搭配词】read the omens, follow the omens
 I wanted to follow the omens, because I knew even then that the omens are the language of God."
scuttling,"scuttling (v.) 急促地跑、横冲直撞 (现分词)
【词性变化】scuttle (v.) 急跑
【搭配词】scuttling through the sand
 He saw that, where his tears had fallen, a scarab beetle was scuttling through the sand."
abraded,"abraded (adj./v.) 磨损的、擦伤的 (过去分词)
【词性变化】abrade (v.) 磨损
【搭配词】hands were abraded
 His hands were abraded and exhausted, but he listened to his heart."










